snapshot_index,source,timestamp_mmss,timestamp_sec,frame_index,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,vein_to_artery_length_ratio,artery_to_vein_length_ratio,net_complexity_index,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection
13,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:37.80,37.8,945,1280,720,27954,0.03033203125,22606,0.024529079861111112,1343,2664,4006,2662,4004,1277,237,4704,23690,3143,1561,231,155,7620.0,14678.0,405.0,720.0,32.98701298701299,94.69677419354839,4657,0.0050531684027777775,131.82604991319445,0.779023461077675,0.9957742977877206,0.5191442975882273,1.926246719160105,0.41385604155798394,1514,22298.0,0.6582653152749125,1.4817053770283168
14,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:40.80,40.8,1020,1280,720,173943,0.188740234375,128255,0.13916558159722223,1600,3154,4753,3153,4752,1442,59,23107,131501,14687,8420,2272,1515,39444.0,84734.0,90.0,1212.0,17.360915492957748,55.93003300330033,16188,0.017565104166666668,2774.6182354600696,0.9753452199210274,0.991447642886942,0.46550381192909573,2.1482101206774162,0.5065957675007531,1501,124178.0,0.6823591940601395,1.1021992238033635
15,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:43.84,43.84,1096,1280,720,173943,0.188740234375,128255,0.13916558159722223,1600,3154,4753,3153,4752,1442,59,23107,131501,14687,8420,2272,1515,39444.0,84734.0,90.0,1212.0,17.360915492957748,55.93003300330033,16188,0.017565104166666668,2774.6182354600696,0.9753452199210274,0.991447642886942,0.46550381192909573,2.1482101206774162,0.5065957675007531,1501,124178.0,0.6823591940601395,1.1021992238033635
16,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:46.88,46.88,1172,1280,720,13435,0.01457790798611111,10594,0.011495225694444444,588,1170,1757,1167,1754,568,7,1999,10829,1222,777,51,34,2386.0,7636.0,720.0,1767.0,46.78431372549019,224.58823529411765,1797,0.0019498697916666666,24.271146592881944,0.7090237905894813,0.9994311717861206,0.31246726034573075,3.2003352891869237,0.38520179245634517,575,10022.0,0.7619237677110358,1.4705400981996726
17,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:49.88,49.88,1247,1280,720,13435,0.01457790798611111,10594,0.011495225694444444,588,1170,1757,1167,1754,568,7,1999,10829,1222,777,51,34,2386.0,7636.0,720.0,1767.0,46.78431372549019,224.58823529411765,1797,0.0019498697916666666,24.271146592881944,0.7090237905894813,0.9994311717861206,0.31246726034573075,3.2003352891869237,0.38520179245634517,575,10022.0,0.7619237677110358,1.4705400981996726
18,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:52.92,52.92,1323,1280,720,102619,0.11134874131944444,81101,0.0880002170138889,1600,3175,4774,3174,4773,1491,105,20592,85043,13165,7427,1077,718,25797.0,52050.0,133.0,1414.0,23.95264623955432,72.49303621169916,14761,0.016016710069444443,1523.095298828125,0.931994545511143,0.9958281184814352,0.4956195965417867,2.0176764740086055,0.4680432557626882,1596,77847.0,0.6686192146132799,1.121230535510824
19,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:55.92,55.92,1398,1280,720,213064,0.2311892361111111,165539,0.17962131076388888,1600,3175,4774,3174,4773,1487,783,49250,177877,34000,15250,1516,1011,38335.0,121138.0,163.0,5890.0,25.28693931398417,119.81998021760633,36270,0.03935546875,7730.817705891927,0.9856294370902624,0.9958281184814352,0.3164572636167016,3.159984348506587,0.5405707323117135,2270,159473.0,0.7596144801941395,1.0667647058823528
20,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:58.96,58.96,1474,1280,720,213064,0.2311892361111111,165539,0.17962131076388888,1600,3175,4774,3174,4773,1487,783,49250,177877,34000,15250,1516,1011,38335.0,121138.0,163.0,5890.0,25.28693931398417,119.81998021760633,36270,0.03935546875,7730.817705891927,0.9856294370902624,0.9958281184814352,0.3164572636167016,3.159984348506587,0.5405707323117135,2270,159473.0,0.7596144801941395,1.0667647058823528
21,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:02.00,62.0,1550,1280,720,186498,0.20236328125,138063,0.14980794270833334,1600,3170,4769,3169,4768,1494,313,40550,147652,27682,12868,1205,803,23421.0,109943.0,213.0,10450.0,19.436514522821575,136.91531755915318,29489,0.031997612847222225,5425.243237304688,0.9785769255039797,0.9947851481017939,0.21302856934957204,4.694206054395628,0.523207559666534,1807,133364.0,0.824382891934855,1.065277075355827
22,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:05.00,65.0,1625,1280,720,212597,0.23068250868055556,157618,0.17102647569444446,1600,3161,4760,3160,4759,1458,1079,36406,161068,21112,15294,1928,1286,44439.0,105857.0,186.0,1447.0,23.04927385892116,82.3149300155521,23649,0.025660807291666667,4961.838517252605,0.981077889219108,0.9929078014184397,0.4198021859678623,2.3820743041022525,0.5154887836108407,2537,150296.0,0.704323468355778,1.1201686244789693
