dataset,records,active_M_states,entropy_M_eff,M_uniformity,M_redundancy,transition_tension,M_ceiling,M_beta_eff,M_active_pressure,M_gamma_real,M_gamma_imaginary_magnitude,gamma_regime,proper_time_ratio_tau_over_T,horizon_compression,simulation_mass_density_simulons_per_Meff,field_energy_density_per_Meff,intersection_curvature_per_Meff,enclosure_curvature_per_Meff,vascular_flux_px_per_Meff,arterial_flux_px_per_Meff,artery_share_of_length,M_curvature_energy_coupling,plateau_inertia,M_strain_index,mean_simulon_count,mean_field_energy,mean_intersection_points,mean_enclosure_total,mean_vascular_total_length_px,mean_artery_share_of_length,mean_longest_artery_px,mean_longest_vein_px
10 snapshots,10,10,9.999999999999998,0.9999999999999998,2.220446049250313e-16,1.0,46.0,0.21739130434782605,0.21739130434782608,1.02450142733096,0.0,sub-ceiling real,0.9760845356801587,0.22271770159368695,2764.51,593.9440343630644,2599.8400000000006,164.67000000000004,10768.010000000002,8273.74310806556,0.7683632452110983,1.8890301177246527,0.0,0.0,27645.1,5939.440343630643,25998.4,1646.7,107680.1,0.7683632452110983,20281.1,332.1
100 snapshots,100,49,41.41041327627204,0.8451104750259599,0.15488952497404,0.4848484848484848,46.0,0.9002263755711313,1.065217391304348,2.29662165019768,0.0,sub-ceiling real,0.43542217757719287,2.4464013230366595,615.699723398059,125.79899048452613,574.8858346613234,40.81388873673546,2582.581566778987,1942.6894941969408,0.7522277395559189,6.511158802131515,1.051329622758194,0.11544376687547919,25496.38,5209.388185702041,23806.26,1690.12,106945.77,0.7522277395559189,13944.34,314.93
"7,560 frames / 49 states",7560,49,42.52147617721564,0.8677852281064417,0.1322147718935583,0.0063500463024209,46.0,0.9243799168959922,1.065217391304348,2.6214164288765787,0.0,sub-ceiling real,0.3814731566432408,2.792378369890269,606.0477346733725,124.61247972086024,566.1303863281363,39.91734834523614,2523.1364109096435,1901.9699904683375,0.7538117963993224,6.878876027269606,153.30599285619792,0.1395973082003401,25770.044312169313,5298.706587834326,24072.699735449736,1697.3445767195767,107287.48478835978,0.7538117963993224,14478.04828042328,313.99603174603175
"49 unique states, state-native uniform",49,49,48.99999999999999,1.0,1.1102230246251563e-16,1.0,46.0,1.0652173913043477,1.065217391304348,,2.7248048376918295,super-ceiling imaginary,,,540.7617659308622,108.14259503181457,504.78550603915045,35.97625989171179,2312.9679300291546,1718.199606266981,0.7428549198454832,9.13472878556693,0.0,0.2804347826086956,26497.326530612245,5298.987156558913,24734.48979591837,1762.8367346938776,113335.42857142857,0.7428549198454832,10611.877551020409,250.81632653061226
"49 unique states, segment-weighted",49,49,42.52147617721564,0.8677852281064417,0.1322147718935583,1.0,46.0,0.9243799168959922,1.065217391304348,2.6214164288765787,0.0,sub-ceiling real,0.3814731566432408,2.792378369890269,606.0477346733725,124.61247972086028,566.1303863281363,39.91734834523614,2523.1364109096435,1901.969990468337,0.7538117963993223,6.878876027269606,0.0,0.1395973082003401,25770.044312169313,5298.706587834327,24072.699735449736,1697.3445767195767,107287.48478835978,0.7538117963993223,14478.04828042328,313.99603174603175
