snapshot_index,source,timestamp_mmss,timestamp_sec,frame_index,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,state_index,segment_index,segment_start_frame,segment_end_frame_exclusive,segment_length_frames,segment_start_sec,segment_end_sec_exclusive,vein_to_artery_length_ratio,artery_to_vein_length_ratio,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection,net_complexity_index
11,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:50.00,50.0,1250,1280,720,103052,0.11181857638888888,81446,0.08837456597222222,1600,3178,4777,3177,4776,1491,107,20614,85429,13186,7428,1079,720,25996.0,52233.0,133.0,1707.0,24.09267840593142,72.54583333333333,14784,0.016041666666666666,1531.9207590060764,0.9311620638047289,0.9964539007092199,11,11,1250,1375,125,50.0,55.0,0.497693029310972,2.0092706570241576,1598,78229.0,0.6676935663245088,1.1211891399969665,0.4682953538647534
12,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:55.00,55.0,1375,1280,720,213168,0.23130208333333332,165623,0.1797124565972222,1600,3175,4774,3174,4773,1481,780,49265,177963,34011,15254,1516,1011,38214.0,121344.0,163.0,5890.0,25.20712401055409,120.02373887240356,36272,0.039357638888888886,7735.0617830403635,0.9841597636629503,0.9958281184814352,12,12,1375,1500,125,55.0,60.0,0.3149228639240506,3.1753807505102842,2261,159558.0,0.760500883691197,1.0664784922525066,0.5404049817832925
13,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:00.00,60.0,1500,1280,720,186503,0.20236870659722223,138062,0.1498068576388889,1600,3172,4771,3171,4770,1497,314,40546,147652,27681,12865,1203,803,23459.0,109912.0,213.0,10450.0,19.500415627597672,136.87671232876713,29492,0.032000868055555555,5425.887949707031,0.97812148377816,0.9952023362536504,13,13,1500,1625,125,60.0,65.0,0.21343438387073296,4.685280702502238,1811,133371.0,0.8241071897189044,1.0654239369964957,0.5232117689617727
14,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:05.00,65.0,1625,1280,720,212597,0.23068250868055556,157618,0.17102647569444446,1600,3161,4760,3160,4759,1458,1079,36406,161068,21112,15294,1928,1286,44439.0,105857.0,186.0,1447.0,23.04927385892116,82.3149300155521,23649,0.025660807291666667,4961.838517252605,0.981077889219108,0.9929078014184397,14,14,1625,1750,125,65.0,70.0,0.4198021859678623,2.3820743041022525,2537,150296.0,0.704323468355778,1.1201686244789693,0.5154887836108407
15,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:10.00,70.0,1750,1280,720,184559,0.20025933159722223,140684,0.15265190972222223,1600,3168,4767,3168,4767,1494,447,39377,149505,26519,12858,1311,875,30740.0,105251.0,223.0,3348.0,23.447749809305872,120.28685714285714,28460,0.03088107638888889,5225.346644694011,0.978182590592492,0.9943679599499374,15,15,1750,1875,125,70.0,75.0,0.2920637333612032,3.4239102147039686,1941,135991.0,0.7739556294166525,1.0731928051585655,0.521183605003528
16,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:15.00,75.0,1875,1280,720,212503,0.23058051215277778,165248,0.17930555555555555,1600,3175,4774,3175,4774,1493,747,48862,177602,33790,15072,1487,992,37060.0,122253.0,153.0,6288.0,24.9226630800269,123.23891129032258,36030,0.03909505208333333,7661.425646972656,0.9840834260914081,0.9958281184814352,16,16,1875,2000,125,75.0,80.0,0.30314184518989307,3.2987857528332434,2240,159313.0,0.7673761714361038,1.0662918023083752,0.5403298839628251
17,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:20.00,80.0,2000,1280,720,164205,0.178173828125,125895,0.13660481770833333,1600,3177,4776,3173,4772,1514,268,34652,134279,23941,10711,1149,766,25492.0,96739.0,277.0,6302.0,22.186248912097476,126.2911227154047,25723,0.027911241319444443,4209.081126302083,0.961437309633174,0.9962453066332916,17,17,2000,2125,125,80.0,85.0,0.2635131642874125,3.794876824101679,1782,122231.0,0.7914440690168615,1.0744329810784845,0.5126051188714047
18,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:25.00,85.0,2125,1280,720,95562,0.10369140625,75114,0.08150390625,1600,3167,4766,3165,4764,1506,372,19049,79843,12973,6076,900,600,25350.0,48580.0,251.0,828.0,28.166666666666668,80.96666666666667,14851,0.016114366319444445,1424.689703125,0.9506510662472362,0.9941593658740092,18,18,2125,2250,125,85.0,90.0,0.5218196788801976,1.916370808678501,1878,73930.0,0.6571080752062762,1.1447621984120866,0.4753363929628729
19,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:30.00,90.0,2250,1280,720,28811,0.03126193576388889,22863,0.024807942708333332,1261,2516,3776,2505,3765,1208,45,5196,23813,3397,1799,154,103,4230.0,17691.0,720.0,1144.0,27.467532467532468,171.75728155339806,4650,0.005045572916666667,134.8931306423611,0.7827023056376963,0.9997352396081546,19,19,2250,2470,220,90.0,98.8,0.23910462947261318,4.1822695035461,1253,21921.0,0.8070343506226906,1.3688548719458347,0.4124602275396201
20,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:38.80,98.8,2470,1280,720,186205,0.20204535590277778,142062,0.15414713541666666,1600,3180,4779,3179,4778,1491,293,39567,150686,26437,13130,1347,899,32261.0,104794.0,162.0,3233.0,23.95025983667409,116.56729699666296,28221,0.030621744791666666,5228.999781792534,0.9779606868136548,0.9968710888610763,20,20,2470,2595,125,98.8,103.8,0.3078515945569403,3.2483184030253245,1784,137055.0,0.7646127467075262,1.0674811816771947,0.5212993618602908
21,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:43.80,103.8,2595,1280,720,209221,0.2270193142361111,164363,0.17834526909722223,1600,3170,4769,3167,4766,1488,274,58722,182806,43197,15525,1100,734,31333.0,128616.0,304.0,14399.0,28.484545454545454,175.22615803814713,44959,0.04878363715277778,9440.85359375,0.9773018063442513,0.9947851481017939,21,21,2595,2720,125,103.8,108.8,0.24361665733656776,4.104809625634315,1762,159949.0,0.8041063088859574,1.040789869666875,0.5467116268247743
