metric,mean,median,min,max,std
frame_number,3780.5,3780.5,1.0,7560.0,2182.528350331331
frame_index,3779.5,3779.5,0.0,7559.0,2182.528350331331
timestamp_sec,151.18,151.18,0.0,302.36,87.30113401325323
state_index,27.797619047619047,30.0,1.0,49.0,14.495987817495632
segment_index,27.797619047619047,30.0,1.0,49.0,14.495987817495632
segment_start_frame,3665.8763227513227,3720.0,0.0,7145.0,2146.077655027999
segment_end_frame_exclusive,3894.1236772486773,3845.0,125.0,7560.0,2219.5715784163
segment_length_frames,228.2473544973545,125.0,125.0,780.0,204.7272642763354
propagated_from_keyframe,3665.8763227513227,3720.0,0.0,7145.0,2146.077655027999
width,1280.0,1280.0,1280.0,1280.0,0.0
height,720.0,720.0,720.0,720.0,0.0
edge_pixels,141236.07076719578,139480.0,13435.0,294869.0,83620.96394654278
edge_density,0.15325094484287732,0.15134548611111112,0.01457790798611111,0.31995334201388886,0.09073455289338409
skeleton_pixels,111293.30555555556,109386.0,10594.0,239512.0,66649.92518483689
skeleton_density,0.12076096522955249,0.11869140625,0.011495225694444444,0.2598871527777778,0.07231979729257475
delaunay_points,1519.6719576719577,1600.0,588.0,1600.0,188.22608461745565
delaunay_triangles,3017.5178571428573,3175.0,1170.0,3183.0,370.42259587605935
delaunay_edges,4536.189814814815,4774.0,1757.0,4782.0,558.6308092866308
voronoi_vertices,3015.040343915344,3174.0,1167.0,3183.0,372.79020782758937
voronoi_ridges,4533.712301587301,4773.0,1754.0,4782.0,561.0005765993718
voronoi_enclosed_cells,1413.5079365079366,1485.0,568.0,1521.0,168.57952238518183
image_enclosed_cells,283.8366402116402,252.0,7.0,1079.0,248.74837188140043
graph_vertices,34183.88888888889,26326.0,1999.0,98991.0,26805.95977190737
graph_edges_est,120637.38161375662,116141.0,10829.0,276407.0,75700.81773304031
intersection_points,24072.699735449736,17443.0,1222.0,76434.0,20621.1974590688
endpoints,10111.189153439154,8883.0,777.0,22804.0,6393.487020698114
veins,970.1130952380952,1079.0,51.0,2271.0,506.59301036012107
arteries,647.2308201058202,720.0,34.0,1515.0,337.7037629167738
total_vein_length_px,23597.69246031746,25996.0,2386.0,47743.0,11841.70674070553
total_artery_length_px,83689.79232804233,72797.0,7636.0,214934.0,58234.299555156605
longest_vein_px,313.99603174603175,186.0,85.0,1280.0,283.54652542121414
longest_artery_px,14478.04828042328,2150.0,387.0,147787.0,34900.611175190366
mean_vein_length_px,25.66662112742269,25.8,17.357551739321885,46.78431372549019,5.192536218596396
mean_artery_length_px,138.21000774433472,120.02373887240356,55.93927392739274,326.15174506828527,70.75001323662528
simulon_count,25770.044312169313,19286.0,1797.0,78174.0,20763.658350500995
simulon_density,0.02796228766511427,0.020926649305555555,0.0019498697916666666,0.08482421875,0.02253001123101236
simulon_field_energy,5298.7065878343265,2772.5828664279516,24.271146592881944,23368.866491699217,6492.277965785189
simulon_entropy,0.9268686564615747,0.9630061379486685,0.7090237905894813,0.9876489870081853,0.07731393239324792
simulon_cohesion,0.9964543006813185,0.9962453066332916,0.9901960784313726,0.9997352396081546,0.0017960875431363963
vein_to_artery_length_ratio,0.342678210221852,0.3149228639240506,0.08104348311574716,0.6083152269657642,0.14572407504118354
artery_to_vein_length_ratio,3.8735492384590082,3.1753807505102842,1.6438845448402355,12.339055054825192,2.685634371160935
enclosure_total,1697.3445767195767,1740.0,575.0,2539.0,350.1388149828479
vascular_total_length_px,107287.48478835978,104640.0,10022.0,232353.0,64410.25686868486
artery_share_of_length,0.7538117963993224,0.760500883691197,0.6217686578063385,0.9250321708779314,0.08375476545418185
simulon_per_intersection,1.1688561743390575,1.1019754768392371,1.0227647382055107,2.0856,0.19099113547346025
net_complexity_index,0.4924312292569334,0.4975085839194863,0.38520179245634517,0.6000988936054359,0.059664732229918534
frame_fraction,0.5,0.5,0.0,1.0,0.2887324183531328
time_bin_100,50.5,50.5,1.0,100.0,28.871645277765378
