frame_number,frame_index,timestamp_sec,timestamp_mmss,state_index,segment_index,segment_start_frame,segment_end_frame_exclusive,segment_length_frames,propagated_from_keyframe,visual_state_method,source,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,vein_to_artery_length_ratio,artery_to_vein_length_ratio,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection,net_complexity_index,frame_fraction,time_bin_100
11,10,0.4,00:00.40,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0013229263130043656,1
12,11,0.44,00:00.44,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0014552189443048022,1
13,12,0.48,00:00.48,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0015875115756052388,1
14,13,0.52,00:00.52,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0017198042069056754,1
15,14,0.56,00:00.56,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0018520968382061118,1
16,15,0.6,00:00.60,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0019843894695065487,1
17,16,0.64,00:00.64,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.002116682100806985,1
18,17,0.68,00:00.68,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0022489747321074215,1
19,18,0.72,00:00.72,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0023812673634078583,1
20,19,0.76,00:00.76,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0025135599947082947,1
