dataset,records,active_M_states,entropy_M_eff,M_beta_eff,M_gamma_real,M_gamma_imaginary_magnitude,gamma_regime,proper_time_ratio_tau_over_T,simulation_mass_density_simulons_per_Meff,field_energy_density_per_Meff,intersection_curvature_per_Meff,enclosure_curvature_per_Meff,vascular_flux_px_per_Meff,plateau_inertia,M_strain_index
10 snapshots,10,10,9.999999999999998,0.21739130434782605,1.02450142733096,0.0,sub-ceiling real,0.9760845356801587,2764.51,593.9440343630644,2599.8400000000006,164.67000000000004,10768.010000000002,0.0,0.0
100 snapshots,100,49,41.41041327627204,0.9002263755711313,2.29662165019768,0.0,sub-ceiling real,0.43542217757719287,615.699723398059,125.79899048452613,574.8858346613234,40.81388873673546,2582.581566778987,1.051329622758194,0.11544376687547919
"7,560 frames / 49 states",7560,49,42.52147617721564,0.9243799168959922,2.6214164288765787,0.0,sub-ceiling real,0.3814731566432408,606.0477346733725,124.61247972086024,566.1303863281363,39.91734834523614,2523.1364109096435,153.30599285619792,0.1395973082003401
"49 unique states, state-native uniform",49,49,48.99999999999999,1.0652173913043477,,2.7248048376918295,super-ceiling imaginary,,540.7617659308622,108.14259503181457,504.78550603915045,35.97625989171179,2312.9679300291546,0.0,0.2804347826086956
"49 unique states, segment-weighted",49,49,42.52147617721564,0.9243799168959922,2.6214164288765787,0.0,sub-ceiling real,0.3814731566432408,606.0477346733725,124.61247972086028,566.1303863281363,39.91734834523614,2523.1364109096435,0.0,0.1395973082003401
