dataset,simulon_count_M_eff,simulon_count_M_uniformity,simulon_field_energy_M_eff,simulon_field_energy_M_uniformity,intersection_points_M_eff,intersection_points_M_uniformity,enclosure_total_M_eff,enclosure_total_M_uniformity,vascular_total_length_px_M_eff,vascular_total_length_px_M_uniformity,mean_simulon_count,mean_intersection_points,mean_field_energy,mean_enclosure_total,mean_artery_share_of_length,mean_simulon_per_intersection
10 snapshots,7.0903596485642115,0.7090359648564212,5.48513175987257,0.548513175987257,6.80844360141804,0.680844360141804,9.546042752301636,0.9546042752301636,7.689808091448745,0.7689808091448744,27645.1,25998.4,5939.440343630643,1646.7,0.7683632452110983,1.1981011118660192
100 snapshots,33.25122412648676,0.6785964107446277,23.505140199253,0.4796967387602653,31.969638927215666,0.6524416107595034,43.20129614766957,0.881659105054481,37.974920139232694,0.7749983701884223,25496.38,23806.26,5209.388185702041,1690.12,0.7522277395559189,1.1692428080026465
"7,560 frames",33.57387540348866,0.685181130683442,23.42981561446671,0.47815950233605525,32.23769097649995,0.6579120607448969,44.40693406150785,0.9062639604389356,38.77625351663953,0.7913521125844801,25770.044312169313,24072.699735449736,5298.706587834326,1697.3445767195767,0.7538117963993224,1.1688561743390575
"49 states, segment-weighted",38.78875252093045,0.791607194304703,29.85536318271252,0.6092931261778065,37.52480564460204,0.7658123600939192,48.08664487651392,0.9813600995206923,42.277181280874906,0.8627996179770389,26497.326530612245,24734.48979591837,5298.987156558913,1762.8367346938776,0.7428549198454832,1.159776916511361
